DATE,AWND,PRCP,TAVG
17/3/2022,9.17,0,61
18/3/2022,11.63,0,64
19/3/2022,3.8,0,56
20/3/2022,9.62,0,59
21/3/2022,13.2,1.39,68
22/3/2022,10.29,0.52,63
23/3/2022,6.71,0,55
24/3/2022,7.16,0,55
25/3/2022,3.36,0,61
26/3/2022,8.5,0,65
27/3/2022,12.3,0,68
28/3/2022,12.53,0,69
29/3/2022,18.12,0,72
30/3/2022,12.75,0.2,72
31/3/2022,4.25,0,60
1/4/2022,8.72,0,61
2/4/2022,6.71,0,70
3/4/2022,7.83,0,66
4/4/2022,7.61,0,70
5/4/2022,10.96,0,78
6/4/2022,14.99,0,72
7/4/2022,10.74,0,63
8/4/2022,6.26,0,58
9/4/2022,10.07,0,60
10/4/2022,14.99,0,70
11/4/2022,12.97,0.17,73
12/4/2022,15.21,0,77
13/4/2022,12.97,0,80
14/4/2022,8.5,0,67
15/4/2022,6.26,0,68
16/4/2022,5.14,0,75
17/4/2022,4.47,0.02,73
18/4/2022,11.63,0,71
19/4/2022,10.29,0.01,63
20/4/2022,15.66,0,73
21/4/2022,12.08,0,76
22/4/2022,16.11,0,77
23/4/2022,17.45,0,76
24/4/2022,13.87,0,77
25/4/2022,11.18,1.96,70
26/4/2022,8.95,0.04,64
27/4/2022,6.49,0,68
28/4/2022,12.3,0,74
29/4/2022,14.32,0,76
30/4/2022,7.16,0,78
1/5/2022,8.72,0.04,78
2/5/2022,13.2,0,78
3/5/2022,9.84,0,80
4/5/2022,12.75,0.05,80
5/5/2022,10.07,0.16,78
6/5/2022,6.71,0,74
7/5/2022,12.08,0,83
8/5/2022,14.09,0,83
9/5/2022,14.54,0,83
10/5/2022,12.3,0,83
11/5/2022,10.07,0,80
12/5/2022,9.84,0,78
13/5/2022,8.5,0,78
14/5/2022,8.28,0,80
15/5/2022,9.4,0,80
16/5/2022,7.83,0,82
17/5/2022,12.3,0,81
18/5/2022,13.2,0,82
19/5/2022,15.43,0,82
20/5/2022,14.99,0,83
21/5/2022,11.41,0.17,84
22/5/2022,12.53,0.02,74
23/5/2022,7.61,0,74
24/5/2022,11.18,0.81,78
25/5/2022,6.93,0.23,72
26/5/2022,4.7,0,73
27/5/2022,3.8,0,79
28/5/2022,10.74,0,81
29/5/2022,16.33,0,84
30/5/2022,15.66,0,83
31/5/2022,13.42,0,84
1/6/2022,9.4,0,84
2/6/2022,8.05,0,81
3/6/2022,5.37,0.01,80
4/6/2022,5.82,0.01,79
5/6/2022,11.63,0,81
6/6/2022,16.11,0,86
7/6/2022,14.54,0,86
8/6/2022,11.41,0,85
9/6/2022,7.61,0,86
10/6/2022,9.4,0,87
11/6/2022,9.84,0,87
12/6/2022,12.53,0,88
13/6/2022,13.87,0,88
14/6/2022,16.78,0,86
15/6/2022,11.63,0,85
16/6/2022,7.83,0,86
17/6/2022,6.71,0,86
18/6/2022,6.93,0,85
19/6/2022,6.49,0,86
20/6/2022,6.26,0,86
21/6/2022,7.16,0,88
22/6/2022,5.37,0,86
23/6/2022,5.37,0,88
24/6/2022,8.72,0,87
25/6/2022,10.51,0,87
26/6/2022,5.14,0,87
27/6/2022,8.72,1.16,86
28/6/2022,6.93,0,78
29/6/2022,6.71,0,82
30/6/2022,5.59,0,84
1/7/2022,5.59,0,84
2/7/2022,9.62,0,86
3/7/2022,10.51,0,87
4/7/2022,10.74,0,87
5/7/2022,11.63,0,87
6/7/2022,10.51,0,87
7/7/2022,9.4,0,87
8/7/2022,8.95,0,88
9/7/2022,7.16,0,89
10/7/2022,4.03,0,91
11/7/2022,6.49,0,90
12/7/2022,6.93,0,91
13/7/2022,6.71,0,90
14/7/2022,6.26,0.01,88
15/7/2022,6.71,0,82
16/7/2022,8.95,0,84
17/7/2022,9.62,0,87
18/7/2022,10.74,0,88
19/7/2022,12.3,0,89
20/7/2022,11.18,0,88
21/7/2022,10.51,0,88
22/7/2022,9.17,0,87
23/7/2022,10.51,0,88
24/7/2022,11.18,0,88
25/7/2022,10.07,0,87
26/7/2022,10.07,0,87
27/7/2022,9.62,0,88
28/7/2022,9.62,0,87
29/7/2022,10.51,0,87
30/7/2022,9.84,0,87
31/7/2022,10.74,0,88
1/8/2022,8.5,0,86
2/8/2022,12.75,0,88
3/8/2022,13.2,0,89
4/8/2022,12.08,0,88
5/8/2022,9.4,0,87
6/8/2022,7.83,0,86
7/8/2022,9.17,0,85
8/8/2022,6.26,0,85
9/8/2022,6.26,0,85
10/8/2022,7.83,0,88
11/8/2022,5.37,0,85
12/8/2022,6.26,0,85
13/8/2022,7.61,0,87
14/8/2022,8.28,0,84
15/8/2022,8.28,0,84
16/8/2022,6.49,0,85
17/8/2022,6.71,0,88
18/8/2022,6.49,0.1,85
19/8/2022,4.25,0.45,78
20/8/2022,8.5,0.02,82
21/8/2022,9.62,0.01,83
22/8/2022,8.28,2.02,84
23/8/2022,3.36,0,79
24/8/2022,5.14,0,83
25/8/2022,6.26,0,83
26/8/2022,6.26,0,84
27/8/2022,6.93,0,85
28/8/2022,8.95,0.04,85
29/8/2022,5.14,0,84
30/8/2022,5.14,0.3,78
31/8/2022,4.7,0.41,79
1/9/2022,4.25,0,80
2/9/2022,3.8,0,80
3/9/2022,4.03,0.04,80
4/9/2022,4.25,0,77
5/9/2022,5.14,0,78
6/9/2022,4.7,0,80
7/9/2022,3.8,0.1,82
8/9/2022,5.14,0,79
9/9/2022,3.58,0,80
10/9/2022,3.58,0,81
11/9/2022,6.93,0,80
12/9/2022,4.47,0,79
13/9/2022,2.91,0,79
14/9/2022,3.13,0,78
15/9/2022,4.03,0,75
16/9/2022,5.82,0,81
17/9/2022,7.61,0,83
18/9/2022,4.92,0,82
19/9/2022,5.82,0,82
20/9/2022,4.25,0,83
21/9/2022,3.58,0,83
22/9/2022,2.46,0,81
23/9/2022,4.7,0,82
24/9/2022,5.82,0,80
25/9/2022,2.46,0,82
26/9/2022,10.51,0,81
27/9/2022,3.58,0,73
28/9/2022,2.01,0,71
29/9/2022,2.01,0,71
30/9/2022,4.7,0,72
1/10/2022,3.13,0,68
2/10/2022,2.91,0,67
3/10/2022,1.57,0,67
4/10/2022,1.79,0,71
5/10/2022,2.68,0,72
6/10/2022,2.46,0,74
7/10/2022,2.24,0,74
8/10/2022,6.93,0,74
9/10/2022,4.92,0,74
10/10/2022,6.71,0,73
11/10/2022,7.61,0,75
12/10/2022,6.93,0,81
13/10/2022,10.29,0,78
14/10/2022,5.37,0,73
15/10/2022,9.4,0,79
16/10/2022,9.4,0,80
17/10/2022,14.99,0.44,69
18/10/2022,11.41,0,61
19/10/2022,2.91,0,54
20/10/2022,7.16,0,60
21/10/2022,11.18,0,70
22/10/2022,13.65,0,72
23/10/2022,13.87,0,75
24/10/2022,13.42,0.46,77
25/10/2022,9.17,0,67
26/10/2022,3.13,0,58
27/10/2022,6.26,0.01,59
28/10/2022,11.18,1.03,65
29/10/2022,9.4,0,62
30/10/2022,3.58,0,61
31/10/2022,2.91,0.05,62
1/11/2022,2.01,0.01,61
2/11/2022,4.03,0,63
3/11/2022,12.75,0,74
4/11/2022,13.2,0.41,77
5/11/2022,5.37,0,61
6/11/2022,4.92,0,63
7/11/2022,4.92,0.11,75
8/11/2022,3.8,0.02,70
9/11/2022,6.71,0,72
10/11/2022,6.93,0,72
11/11/2022,13.2,0.12,67
12/11/2022,12.75,0,47
13/11/2022,5.59,0,43
14/11/2022,8.95,0.19,50
15/11/2022,10.96,0,46
16/11/2022,9.84,0,45
17/11/2022,2.68,0,47
18/11/2022,2.91,0.03,51
19/11/2022,12.97,0.39,44
20/11/2022,7.16,0.02,42
21/11/2022,4.92,0.25,42
22/11/2022,4.03,0.02,47
23/11/2022,2.91,0.1,56
24/11/2022,7.38,0.23,62
25/11/2022,12.75,0.7,59
26/11/2022,8.5,1.3,55
27/11/2022,4.47,0,54
28/11/2022,6.04,0,53
29/11/2022,9.4,0,71
30/11/2022,16.78,0,53
1/12/2022,4.03,0.01,44
2/12/2022,5.82,0.1,56
3/12/2022,10.51,0,63
4/12/2022,4.7,0,55
5/12/2022,6.93,0,62
6/12/2022,8.05,0,70
7/12/2022,10.29,0,73
8/12/2022,8.05,0,73
9/12/2022,6.93,0,69
10/12/2022,8.05,0.07,72
11/12/2022,9.62,0.02,65
12/12/2022,9.17,0,62
13/12/2022,11.18,0,71
14/12/2022,8.5,0.02,62
15/12/2022,3.36,0,48
16/12/2022,10.51,0,44
17/12/2022,5.82,0,47
18/12/2022,4.25,0,39
19/12/2022,8.28,1.44,47
20/12/2022,9.62,0.01,48
21/12/2022,3.36,0,43
22/12/2022,13.87,0,40
23/12/2022,16.78,0,21
24/12/2022,5.37,0,27
25/12/2022,4.03,0,31
26/12/2022,5.59,0,40
27/12/2022,6.71,0,42
28/12/2022,10.96,0,51
29/12/2022,6.26,0,67
30/12/2022,3.8,0,59
31/12/2022,6.71,0,56
1/1/2023,7.61,0,59
2/1/2023,12.53,0,72
3/1/2023,4.92,0.08,67
4/1/2023,5.59,0,56
5/1/2023,4.03,0,49
6/1/2023,8.05,0,54
7/1/2023,6.26,0.01,68
8/1/2023,8.72,0,59
9/1/2023,4.7,0,52
10/1/2023,10.07,0,64
11/1/2023,8.95,0,65
12/1/2023,15.21,0,62
13/1/2023,5.59,0,51
14/1/2023,6.71,0,44
15/1/2023,11.86,0,54
16/1/2023,4.47,0,67
17/1/2023,4.92,0,60
18/1/2023,7.38,0,68
19/1/2023,5.37,0,56
20/1/2023,7.16,0,53
21/1/2023,3.36,0,53
22/1/2023,6.71,0,48
23/1/2023,4.92,0,42
24/1/2023,10.51,1.23,49
25/1/2023,9.17,0,47
26/1/2023,3.58,0,43
27/1/2023,4.92,0,40
28/1/2023,3.58,0.14,52
29/1/2023,8.72,0.05,63
30/1/2023,16.33,0,37
31/1/2023,15.21,0.02,31
1/2/2023,13.42,1.12,31
2/2/2023,10.74,0.1,35
3/2/2023,6.49,0,41
4/2/2023,5.14,0,44
5/2/2023,4.92,0,51
6/2/2023,13.87,0,61
7/2/2023,9.62,0.17,67
8/2/2023,7.61,0.06,53
9/2/2023,7.83,0,52
10/2/2023,14.32,0,52
11/2/2023,8.95,0,45
12/2/2023,4.92,0,44
13/2/2023,7.38,0,49
14/2/2023,11.18,0.01,67
15/2/2023,9.62,0,59
16/2/2023,17.67,0.04,58
17/2/2023,12.75,0,43
18/2/2023,4.92,0,40
19/2/2023,6.04,0,55
20/2/2023,10.96,0,66
21/2/2023,12.75,0,69
22/2/2023,10.74,0,76
23/2/2023,13.65,0,69
24/2/2023,13.42,0,56
25/2/2023,9.17,0,52
26/2/2023,12.3,0.01,62
27/2/2023,7.83,0,71
28/2/2023,5.82,0,60
1/3/2023,6.71,0,74
2/3/2023,13.2,0.68,74
3/3/2023,9.62,0,62
4/3/2023,6.49,0,57
5/3/2023,6.93,0,63
6/3/2023,5.82,0,67
7/3/2023,6.04,0,70
8/3/2023,6.93,0,72
9/3/2023,8.28,0,69
10/3/2023,8.05,0,66
11/3/2023,12.08,0,69
12/3/2023,12.75,0,70
13/3/2023,12.75,0,59
14/3/2023,8.05,0,57
15/3/2023,10.07,0,57
16/3/2023,14.09,0.88,68
17/3/2023,17.22,0.02,53
18/3/2023,6.93,0,49
19/3/2023,4.03,0,48
20/3/2023,9.62,0.01,46
21/3/2023,9.17,0.21,58
22/3/2023,13.87,0,71
23/3/2023,15.43,0,74
24/3/2023,6.93,0.09,75
25/3/2023,5.59,0,65
26/3/2023,3.8,0,60
27/3/2023,10.74,0,67
28/3/2023,17.22,0.01,66
29/3/2023,8.05,0,60
30/3/2023,11.41,0,66
31/3/2023,11.63,0,75
1/4/2023,6.26,0,66
2/4/2023,8.05,0,68
3/4/2023,11.18,0,77
4/4/2023,14.54,0,77
5/4/2023,15.88,0.04,73
6/4/2023,14.76,1.88,54
7/4/2023,13.2,0.57,51
8/4/2023,8.05,0,56
9/4/2023,3.8,0,62
10/4/2023,4.03,0,62
11/4/2023,4.03,0,62
12/4/2023,3.36,0,61
13/4/2023,4.92,0,63
14/4/2023,9.62,0,65
15/4/2023,10.29,0.06,73
16/4/2023,11.41,0,67
17/4/2023,7.61,0,60
18/4/2023,11.86,0,68
19/4/2023,13.42,0,73
20/4/2023,12.08,0.92,76
21/4/2023,7.38,0.02,69
22/4/2023,6.26,0,64
23/4/2023,17,0.02,61
24/4/2023,9.17,0,58
25/4/2023,4.47,0.27,66
26/4/2023,9.62,0.69,72
27/4/2023,6.49,0.14,70
28/4/2023,10.74,0.45,67
29/4/2023,13.42,0,63
30/4/2023,9.4,0,66
1/5/2023,5.82,0,68
2/5/2023,4.7,0,70
3/5/2023,5.37,0,71
4/5/2023,7.38,0,71
5/5/2023,10.74,0,79
6/5/2023,9.17,0,77
7/5/2023,8.72,0,77
8/5/2023,8.28,0,78
9/5/2023,5.59,0.09,72
10/5/2023,5.14,0.15,71
11/5/2023,8.95,0,78
12/5/2023,9.4,0.01,79
13/5/2023,6.04,1.7,71
14/5/2023,2.68,0.13,71
15/5/2023,4.03,0.46,74
16/5/2023,4.25,0,74
17/5/2023,3.58,0,74
18/5/2023,4.47,0,75
19/5/2023,8.05,0.01,78
20/5/2023,9.62,0.05,74
21/5/2023,3.58,0.05,70
22/5/2023,2.24,0,71
23/5/2023,5.37,0,76
24/5/2023,7.61,0.81,74
25/5/2023,5.14,0,74
26/5/2023,3.36,0,75
27/5/2023,4.25,0,75
28/5/2023,7.38,0,76
29/5/2023,4.25,0,75
30/5/2023,5.14,0,76
31/5/2023,6.26,0,77
1/6/2023,7.16,0,78
2/6/2023,7.61,0,78
3/6/2023,8.28,0.52,79
4/6/2023,4.03,0.03,74
5/6/2023,4.92,0.27,74
6/6/2023,2.24,0,74
7/6/2023,2.68,0,78
8/6/2023,4.47,0,78
9/6/2023,4.92,0,80
10/6/2023,10.96,0.38,83
11/6/2023,8.5,0,82
12/6/2023,10.51,0,83
13/6/2023,9.62,0,84
14/6/2023,8.28,0,85
15/6/2023,10.51,0,86
16/6/2023,10.74,0,87
17/6/2023,8.5,0,86
18/6/2023,11.41,0,88
19/6/2023,9.62,0,88
20/6/2023,9.4,0,88
21/6/2023,8.72,0.97,88
22/6/2023,6.71,0.05,81
23/6/2023,8.95,0,84
24/6/2023,10.96,0,86
25/6/2023,10.96,0,87
26/6/2023,11.41,0,87
27/6/2023,9.62,0,86
28/6/2023,11.18,0,86
29/6/2023,10.07,0,86
30/6/2023,10.29,0,85
1/7/2023,7.83,0,86
2/7/2023,5.59,0,85
3/7/2023,7.38,0,85
4/7/2023,8.05,0,84
5/7/2023,10.07,0,85
6/7/2023,8.72,0.16,83
7/7/2023,8.05,0,80
8/7/2023,8.05,0,85
9/7/2023,10.51,0,88
10/7/2023,10.29,0,89
11/7/2023,10.51,0,89
12/7/2023,14.09,0,90
13/7/2023,12.3,0,90
14/7/2023,13.87,0,89
15/7/2023,9.17,0,89
16/7/2023,8.5,0,89
17/7/2023,9.17,0,89
18/7/2023,10.74,0,89
19/7/2023,11.41,0,89
20/7/2023,8.95,0,89
21/7/2023,7.38,0,87
22/7/2023,5.14,0,88
23/7/2023,5.82,0,91
24/7/2023,5.59,0,86
25/7/2023,7.16,0,87
26/7/2023,9.17,0,88
27/7/2023,8.28,0,87
28/7/2023,6.49,0,87
29/7/2023,5.82,0,87
30/7/2023,5.37,0,88
31/7/2023,6.49,0,89
1/8/2023,6.49,0,89
2/8/2023,7.16,0,89
3/8/2023,9.62,0,90
4/8/2023,10.07,0,91
5/8/2023,10.51,0,91
6/8/2023,10.74,0,90
7/8/2023,11.18,0,91
8/8/2023,12.97,0,91
9/8/2023,13.87,0,91
10/8/2023,12.97,0,91
11/8/2023,12.97,0,92
12/8/2023,12.3,0,91
13/8/2023,11.86,0,91
14/8/2023,6.93,0,90
15/8/2023,9.62,0,90
16/8/2023,3.8,0,89
17/8/2023,6.93,0,90
18/8/2023,7.61,0,91
19/8/2023,6.26,0,89
20/8/2023,4.7,0,92
21/8/2023,7.83,0,93
22/8/2023,8.28,0.14,88
23/8/2023,5.59,0,86
24/8/2023,4.7,0,90
25/8/2023,5.82,0,92
26/8/2023,4.7,0,90
27/8/2023,5.14,0,93
28/8/2023,7.83,0,86
29/8/2023,7.83,0,87
30/8/2023,5.59,0,86
31/8/2023,5.37,0,86
1/9/2023,4.92,0,87
2/9/2023,3.58,0,87
3/9/2023,7.16,0,88
4/9/2023,10.74,0,88
5/9/2023,11.63,0,90
6/9/2023,5.82,0,89
7/9/2023,6.93,0,91
8/9/2023,7.61,0,92
9/9/2023,7.38,0,90
10/9/2023,7.16,0,89
11/9/2023,6.49,0,83
12/9/2023,8.05,0,87
13/9/2023,8.5,0.16,82
14/9/2023,3.58,0.69,80
15/9/2023,6.26,0.01,79
16/9/2023,5.82,0.22,79
17/9/2023,4.7,0,79
18/9/2023,3.58,0,81
19/9/2023,8.5,0,83
20/9/2023,9.17,0,83
21/9/2023,5.82,0,85
22/9/2023,8.72,0,86
23/9/2023,11.18,0,88
24/9/2023,12.3,0.18,89
25/9/2023,5.82,0,87
26/9/2023,5.14,0,84
27/9/2023,1.57,0,82
28/9/2023,4.92,0,81
29/9/2023,5.82,0,82
30/9/2023,4.7,0,82
1/10/2023,5.82,0,81
2/10/2023,6.71,0,81
3/10/2023,5.37,0,80
4/10/2023,7.83,0,85
5/10/2023,8.72,1.74,78
6/10/2023,9.62,0,77
7/10/2023,12.53,0,72
8/10/2023,4.47,0,65
9/10/2023,6.93,0,67
10/10/2023,4.92,0.01,71
11/10/2023,5.82,0,69
12/10/2023,10.29,0,70
13/10/2023,6.71,0,78
14/10/2023,11.41,0,71
15/10/2023,13.2,0,63
16/10/2023,9.17,0,61
17/10/2023,3.8,0,58
18/10/2023,6.93,0,62
19/10/2023,5.82,0,69
20/10/2023,3.36,0,71
21/10/2023,5.14,0,72
22/10/2023,7.38,0,76
23/10/2023,7.61,0.86,75
24/10/2023,12.3,0.46,76
25/10/2023,13.42,0,78
26/10/2023,7.61,2.59,77
27/10/2023,6.93,0.04,79
28/10/2023,9.17,0.07,79
29/10/2023,13.42,0.16,70
30/10/2023,17.45,0.14,44
31/10/2023,12.08,0,51
1/11/2023,6.04,0,46
2/11/2023,2.91,0,47
3/11/2023,5.14,0,58
4/11/2023,4.7,0,64
5/11/2023,4.92,0,66
6/11/2023,8.72,0,69
7/11/2023,11.18,0,73
8/11/2023,9.62,0,73
9/11/2023,8.28,0.36,72
10/11/2023,12.75,0.4,57
11/11/2023,8.72,0,57
12/11/2023,8.72,0.38,59
13/11/2023,11.18,0.02,59
14/11/2023,6.71,0,63
15/11/2023,4.03,0,60
16/11/2023,2.91,0,56
17/11/2023,9.17,0,62
18/11/2023,7.61,0,65
19/11/2023,4.47,0.06,62
20/11/2023,8.95,0,70
21/11/2023,14.54,0,60
22/11/2023,3.8,0,51
23/11/2023,4.7,0,47
24/11/2023,2.91,0,50
25/11/2023,5.59,0,51
26/11/2023,13.2,0,54
27/11/2023,7.61,0,45
28/11/2023,4.47,0,53
29/11/2023,4.92,0,51
30/11/2023,7.38,0.14,64
1/12/2023,7.16,0,60
2/12/2023,4.92,0,56
3/12/2023,6.71,0,57
4/12/2023,6.04,0,58
5/12/2023,1.79,0,49
6/12/2023,2.01,0,52
7/12/2023,8.05,0,53
8/12/2023,9.62,0,68
9/12/2023,12.75,0,68
10/12/2023,9.62,0,53
11/12/2023,4.7,0,42
12/12/2023,6.49,0,48
13/12/2023,7.83,0.12,56
14/12/2023,7.61,0,56
15/12/2023,6.93,0.21,61
16/12/2023,7.83,0,54
17/12/2023,3.58,0,49
18/12/2023,7.61,0,51
19/12/2023,5.14,0,49
20/12/2023,6.49,0,58
21/12/2023,4.92,0.15,62
22/12/2023,2.68,0.02,63
23/12/2023,6.26,0.16,63
24/12/2023,7.38,1.66,66
25/12/2023,8.72,0,53
26/12/2023,4.92,0,44
27/12/2023,6.26,0,49
28/12/2023,5.82,0,48
29/12/2023,6.49,0,45
30/12/2023,4.7,0,46
31/12/2023,5.59,0,52
